"project_id","Activity Created By","Activity Created On","Activity Updated By","Activity Updated On","Objective","Organizations and Project ID","Project Description","Executing Sector","Original Completion Date","Proposed Completion Date","Proposed Start Date","Donor Commitment Date","Donor Group","Donor Type","Funding Organization Id","Type Of Assistance","Primary Sector Sub-Sector","Primary Sector Sub-Sub-Sector","Secondary Sector","Secondary Sector Sub-Sector","Tertiary Sector","Responsible Organization","Executing Agency","Executing Agency Groups","Contracting Agency","Contracting Agency Acronym","Beneficiary Agency","Beneficiary Agency Groups","Final Date for Contracting","Mancomunidad","Implementation Level","Region","Zone","SIAFI Code","Total Costs"
"AECD031","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","21/05/2013","Contribuir al alcance de las metas de la Estrategia de Reducción de la Pobreza (ERP) de Honduras a través del fortalecimiento del régimen local y del impulso de un sistema democrático participativo centrado en el desarrollo local.","2742-09 (Agencia Española de Cooperación Internacional para el Desarrollo)","Busca contribuir al alcance de las metas de la Estrategia de Reducción de la Pobreza (ERP) de Honduras a través del fortalecimiento del régimen local y del impulso de un sistema democrático participativo centrado en el desarrollo local.","Sector Privado","","25/09/2011","19/02/2010","27/08/2010","España","Bilateral","2742-09"," - Donación / No reembolsable
 - Intereses Devengados","430 - Otro multisector","43030 - Desarrollo urbano y gerencia","4 - FORTALECIMIENTO INSTITUCIONAL","44 - Descentralización"," ","Agencia Española de Cooperación Internacional para el Desarrollo","Asociación de Municipios de Honduras","ONG Local"," "," ","Asociación de Municipios de Honduras","ONG Local",""," ","Sub-national"," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R03 - Occidente
 - R04 - Valle de Lean
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R12 - Región Centro
 - R14 - Región Lempa
 - R16 - Región de Santa Bárbara"," - Arada
 - Arizona
 - Atima
 - Azacualpa
 - Belén
 - Belén Gualcho
 - Cabañas
 - Cedros
 - Chinda
 - Concepción del Norte
 - Copán Ruinas
 - Corquín
 - Cucuyagua
 - Dolores
 - Dolores Merendón
 - Dulce Nombre
 - El Níspero
 - El Paraíso
 - El Porvenir
 - Esparta
 - Florida
 - Fraternidad
 - Gracias
 - Guaimaca
 - La Iguala
 - La Jigua
 - La Labor
 - La Masica
 - La Unión
 - Las Flores
 - Lepaera
 - Lucerna
 - Macuelizo
 - Marale
 - Mercedes
 - Nueva Arcadia
 - Nueva Frontera
 - Nuevo Celilac
 - Orica
 - Petoa
 - Protección
 - San Agustín
 - San Antonio
 - San Francisco
 - San Ignacio
 - San Jerónimo
 - San José
 - San Juan de Flores
 - San Luis
 - San Manuel Colohete
 - San Marcos
 - San Marcos de Caiquin
 - San Nicolás
 - San Pedro de Copán
 - San Rafael
 - San Sebastián
 - San Vicente Centenario
 - Santa Rita
 - Santa Rosa de Copán
 - Sensenti
 - Talanga
 - Talgua
 - Trinidad
 - Trinidad de Copán
 - Vallecillo
 - Veracruz","","1013692.4"
"87171352930"," ","13/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","2063-07 (Agencia Española de Cooperación Internacional para el Desarrollo)","","Sector Público","","","08/04/2008","08/04/2008","España","Bilateral","2063-07"," - Donación / No reembolsable
 - Intereses Devengados","31320 - Desarrollo de la industria pesquera"," ","3 - AGROFORESTAL Y TURISMO","31 - Agricultura, Agroindustria y Ganadería"," ","Agencia Española de Cooperación Internacional para el Desarrollo","Secretaría de Agricultura y Ganadería","Gobierno"," "," "," "," ",""," ","Sub-national","R13 - Golfo de Fonseca"," - Alianza
 - Amapala
 - Apacilagua
 - Aramecina
 - Caridad
 - Choluteca
 - Concepción de Maria
 - Duyure
 - El Corpus
 - El Triunfo
 - Goascorán
 - Langue
 - Marcovia
 - Morolica
 - Nacaome
 - Namasigue
 - Orocuina
 - Pespire
 - San Antonio de Flores
 - San Francisco de Coray
 - San Isidro
 - San José
 - San Lorenzo
 - San Marcos de Colon
 - Santa Ana de Yusguare","","143752"
"OEIA004","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","S/N (Organización de Estados Iberoamericanos)","","Sector Público","","","01/02/2010","01/02/2010","España","Bilateral"," ","Donación / No reembolsable","112 - Educación básica","11230 - Habilidades básicas de la vida para la juventud y los adultos","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","12 - Educación y Cultura"," ","Organización de Estados Iberoamericanos"," - Organización de Estados Iberoamericanos
 - Secretaría de Educación"," - España
 - Gobierno"," "," "," "," ",""," ","Sub-national"," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R16 - Región de Santa Bárbara"," - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Arada
 - Aramecina
 - Atima
 - Azacualpa
 - Balfate
 - Bonito Oriental
 - Caridad
 - Cedros
 - Ceguaca
 - Chinda
 - Choloma
 - Choluteca
 - Concepción de Maria
 - Concepción del Norte
 - Concepción del Sur
 - Curarén
 - Distrito Central
 - Duyure
 - El Corpus
 - El Níspero
 - El Porvenir
 - El Triunfo
 - Goascorán
 - Guaimaca
 - Gualala
 - Ilama
 - Iriona
 - La Libertad
 - La Lima
 - La Venta
 - Langue
 - Las Vegas
 - Lepaterique
 - Limón
 - Macuelizo
 - Maraita
 - Marale
 - Marcovia
 - Morolica
 - Nacaome
 - Namasigue
 - Naranjito
 - Nueva Armenia
 - Nueva Frontera
 - Nuevo Celilac
 - Ojojona
 - Omoa
 - Orica
 - Orocuina
 - Pespire
 - Petoa
 - Pimienta
 - Potrerillos
 - Protección
 - Puerto Cortés
 - Quimistán
 - Reitoca
 - Sabanagrande
 - Sabá
 - San Antonio de Cortés
 - San Antonio de Flores
 - San Antonio de Oriente
 - San Buenaventura
 - San Francisco de Coray
 - San Francisco de Ojuera
 - San Francisco de Yojoa
 - San Ignacio
 - San Isidro
 - San José
 - San José de Colinas
 - San Juan de Flores
 - San Lorenzo
 - San Luis
 - San Manuel
 - San Marcos
 - San Marcos de Colon
 - San Miguelito
 - San Nicolás
 - San Pedro Sula
 - San Pedro Zacapa
 - San Vicente Centenario
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Bárbara
 - Santa Cruz de Yojoa
 - Santa Fé
 - Santa Lucía
 - Santa Rita
 - Santa Rosa de Aguán
 - Sonaguera
 - Talanga
 - Tatumbla
 - Tocoa
 - Trinidad
 - Trujillo
 - Valle de Angeles
 - Vallecillo
 - Villa de San Francisco
 - Villanueva","","656857.59"
"87171352220"," ","02/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2006] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud.","Autoadministrado por Socio al Desarrollo","","","01/10/2005","01/10/2006","Estados Unidos","Bilateral","522-0440-3 [2006]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","6060955"
"87171352229"," ","02/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2008] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud.","Autoadministrado por Socio al Desarrollo","","","01/10/2007","01/10/2007","Estados Unidos","Bilateral","522-0440-3 [2008]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," ","Secretaría de Salud","Gobierno",""," ","Country/National"," "," ","","8763798"
"AEUD006","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2010] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud.","Autoadministrado por Socio al Desarrollo","","","01/10/2009","01/10/2009","Estados Unidos","Bilateral","522-0440-3 [2010]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","4675000"
"AEUD017","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2011] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud","Autoadministrado por Socio al Desarrollo","","","01/10/2010","01/10/2010","Estados Unidos","Bilateral","522-0440-3 [2011]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","0"
"87171352865"," ","12/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0410.05 (Agencia de los Estados Unidos para el Desarrollo Internacional)","","Autoadministrado por Socio al Desarrollo","","","16/08/1999","16/08/1999","Estados Unidos","Bilateral","522-0410.05","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15110 - Política de sector público y gerencia administrativa","4 - FORTALECIMIENTO INSTITUCIONAL","41 - Modernización del Estado"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","15319783"
"87171352232"," ","02/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2009] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud.","Autoadministrado por Socio al Desarrollo","","","01/10/2008","01/10/2008","Estados Unidos","Bilateral","522-0440-3 [2009]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","0"
"87171122760","Mario Zavala (mzavala@seplan.gob.hn)","10/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0440-3 [2012] (Agencia de los Estados Unidos para el Desarrollo Internacional)","Compra en especies en el área de salud.","Autoadministrado por Socio al Desarrollo","","","01/01/2012"," - 01/01/2012
 - 01/04/2012","Estados Unidos","Bilateral","522-0440-3 [2012]","Donación / No reembolsable","122 - Salud básica","12240 - Nutrición básica","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional","Agencia de los Estados Unidos para el Desarrollo Internacional","Estados Unidos"," "," "," "," ",""," ","Country/National"," "," ","","820000"
"AEUD003","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0436 (Agencia de los Estados Unidos para el Desarrollo Internacional)","","Sector Público","","","05/09/2003","05/09/2003","Estados Unidos","Bilateral","522-0436","Donación / No reembolsable","111 - Educación, nivel sin especificar","11110 - Política educativa y gestión","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","12 - Educación y Cultura"," ","Agencia de los Estados Unidos para el Desarrollo Internacional"," - Academy for Educational Development
 - American Institutes for Research
 - Education Development Center
 - Secretaría de Educación"," - Gobierno
 - ONG Internacional"," "," "," "," ",""," ","Country/National"," "," ","","45056376"
"AEUD009","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","522-0433 (Agencia de los Estados Unidos para el Desarrollo Internacional)","","Sector Público","","","15/06/2004","19/09/2010","Estados Unidos","Bilateral","522-0433","Donación / No reembolsable"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Agencia de los Estados Unidos para el Desarrollo Internacional"," - Asociación Hondureña De Planificación De Familia
 - Secretaría de Salud"," - Gobierno
 - ONG Local"," "," "," "," ",""," ","Country/National"," "," ","BIP 700004900","36373410"
"BCIE042","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","S/N (Banco Centroamericano de Integración Económica)","","Sector Público","","","06/08/2008","06/08/2008","Organismo Internacional","Multilateral"," ","Donación / No reembolsable"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","13 - Vivienda"," ","Banco Centroamericano de Integración Económica","Secretaría de Obras Públicas, Transporte y Vivienda","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","","192000"
"BCIE041","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","Disminuir el riesgo de infección de la enfermedad de chagas de 3,425 familias de comunidades con viviendas de alto riesgo de ser pobladas por la Rhodnius prolixus, mediante la reposición de viviendas y capacitando a las familias en mejores prácticas de salud y mantenimiento de las áreas peri-domiciliares para reducir la infección por el vector.","S/N (Banco Centroamericano de Integración Económica)","Se realizara la reposición total de las viviendas hospederas del vector sustituyéndolas por unidades de 36 metros cuadrados distribuidos en 4 espacios por las actividaes sociales, estas soluciones son de un bloque o adobe, con cubiertas de lámina o teja, además se les construirá una letrina de fosa simple y una estufa ahorradora de leña, la infraestructura se complementa con 100 horas de capacitación para dos benefciarios por vivienda.","Sector Público","","","11/06/2009","11/06/2009","Organismo Internacional","Multilateral","S/N","Donación / No reembolsable","16050 - Ayuda multisectora para los servicios sociales básicos"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA"," - 11 - Salud
 - 16 - Infraestructura Social"," ","Banco Centroamericano de Integración Económica","Fondo Hondureño de Inversión Social","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","","24000"
"BCIE040","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","S/N (Banco Centroamericano de Integración Económica)","","Sector Público","","","29/01/2008","29/01/2008","Organismo Internacional","Multilateral","S/N","Donación / No reembolsable"," "," ","4 - FORTALECIMIENTO INSTITUCIONAL","41 - Modernización del Estado"," ","Banco Centroamericano de Integración Económica","Secretaría de Finanzas","Gobierno"," "," ","Secretaría de Finanzas","Gobierno",""," ","Country/National"," "," ","","1000000"
"BAMU016","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","TF 91447 (Banco Mundial)","","Sector Público","","","20/02/2008","20/02/2008","Organismo Internacional","Multilateral","TF 91447","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15110 - Política de sector público y gerencia administrativa","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","14 - Protección Social"," ","Banco Mundial","Secretaría de Despacho Presidencial","Gobierno"," "," "," "," ",""," ","Sub-national","R12 - Región Centro","Distrito Central","","4623000"
"BAID055","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","Contribuir al logro de una mayor estabilidad de los intermediarios financieros y apoyar al cumplimiento de los acuerdos de la Matriz del Programático Financiero: Fortalecimiento de la Red de Seguridad Financiera.","ATN/SF-11678-HO (Banco Interamericano de Desarrollo)","Mercados de capital: desarrollo de mercados financieros","Autoadministrado por Socio al Desarrollo","","","26/06/2009","26/06/2009","Organismo Internacional","Multilateral"," ","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15111 - Gerencia pública de las finanzas","4 - FORTALECIMIENTO INSTITUCIONAL","41 - Modernización del Estado"," ","Banco Interamericano de Desarrollo","Banco Interamericano de Desarrollo","Organismo Internacional"," "," "," "," ",""," ","Country/National"," "," ","","150000"
"BAID145","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","","ATN/SF-5544-HO (Banco Interamericano de Desarrollo)","Programa especial de acción para los países de los grupos C y D, concebido con objeto de mejorar la capacidad de los países miembros prestatarios de esos grupos para definir, preparar y ejecutar proyectos financiados por el banco.","Autoadministrado por Socio al Desarrollo","","","01/01/1997","01/01/1997","Organismo Internacional","Multilateral"," ","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15140 - Administración pública","4 - FORTALECIMIENTO INSTITUCIONAL","41 - Modernización del Estado"," ","Banco Interamericano de Desarrollo","Banco Interamericano de Desarrollo","Organismo Internacional"," "," "," "," ",""," ","Country/National"," "," ","","2014730"
"BAID059","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","22/05/2013","Apoyar la creación de la Red de Protección Social y el Sistema Nacional de Formación Profesional.","ATN/SF-9995-HO (Banco Interamericano de Desarrollo)","","Autoadministrado por Socio al Desarrollo","","","11/09/2006","11/09/2006","Organismo Internacional","Multilateral"," ","Donación / No reembolsable","16010 - Servicios de asistencia social"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","14 - Protección Social"," ","Banco Interamericano de Desarrollo","Banco Interamericano de Desarrollo","Organismo Internacional"," "," "," "," ",""," ","Country/National"," "," ","","150000"
"AECD074","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","23/05/2013","Mejoradas las condiciones de la población fortaleciendo los tejidos sociales, culturales, económico y las capacidades institucionales.","1991-10 (Agencia Española de Cooperación Internacional para el Desarrollo)","Los municipios de la mancomunidad facilitan a los hombres y mujeres el acceso a los servicios de infraestructura social básica de acuerdo a sus necesidades.","Sector Público","","23/12/2011","23/12/2010"," - 23/12/2010
 - 01/04/2012","España","Bilateral","1991-10"," - Donación / No reembolsable
 - Intereses Devengados"," - 16050 - Ayuda multisectora para los servicios sociales básicos
 - 430 - Otro multisector","43040 - Desarrollo rural","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","16 - Infraestructura Social"," ","Agencia Española de Cooperación Internacional para el Desarrollo","Mancomunidad de Municipios del Centro de Atlantida","Mancomunidades"," "," ","Mancomunidad de Municipios del Centro de Atlantida","Mancomunidades",""," ","Sub-national","R04 - Valle de Lean"," - Arizona
 - El Porvenir
 - Esparta
 - La Masica
 - San Francisco","","340515"
