participating_org	donors	donors_iso3	donor_country
MISIONEROS COLOMBIANOS DE ITALIA	Italian Missionaries	DAC	
NATIONAL GEOGRAPHIC FOUNDATION	National Geographic Foundation	DAC	
NESTLE	NESTLE	DAC	
NUFFIC	Nuffic	DAC	
OCEANS 5	Oceans 5	DAC	
OFICINA PARA LA COORDINACION DE ASUNTOS HUMANITARIOS - OCHA	United Nations Office for the Coordination of Humanitarian Affairs - OCHA	DAC	
OPEN SOCIETY INSTITUTE - OSI	Open Society Foundations - OSF	DAC	
ORGANIZACION DE ESTADOS IBEROAMERICANOS - OEI	Organization of Ibero-American States - OEI	DAC	
PLAN INTERNACIONAL CANADA	Plan Canada	DAC	
PROGRAMA MUNDIAL DE ALIMENTOS - PMA	United Nations World Food Programme - WFP	DAC	
SETEM	Setem Technologies	DAC	
SIN FUENTE	unspecified	DAC	
SODEXO FRANCIA	Sodexo	DAC	
SWIFT FOUNDATION	Swift Foundation	DAC	
TETRA PAK SUECIA	Tetra Pak	DAC	
THE ASHMORE FOUNDATION	Ashmore Foundation	DAC	
THE NATIONAL ACADEMIES	The National Academies	DAC	
THE WALTON FAMILY FOUNDATION	The Walton Family Foundation	DAC	
TINKER FOUNDATION	Tinker Foundation	DAC	
U. DE CORNELL	Cornell University	DAC	
UNION EUROPEA	European Union	DAC	
WAR CHILD INTERNATIONAL HOLLAND	War Child International	DAC	
FUNDACION LIMMAT STIFTTUNG	The Limmat Foundation	DAC	
CHILDREN OF THE ANDES	Children of the Andes	DAC	
WOMEN WIN	Women Win	DAC	
WOOR DAAD HOLLAND	Word and Deed	DAC	
WWF GLOBAL	WWF	DAC	
WWW SUIZA	WWF	DAC	
TOYOTA	TOYOTA	DAC	
BELGICA	Belgium	BEL	Belgium
FUNDACION CLINTON	The Clinton Foundation	DAC	
