"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"COL40","1","Generación de Capacidades Comerciales: Red de Exportadores de cacao-Colombia // Trade Capacity Building EFTA: Export Network Cocoa, Colombia","2012-09-01","start-actual","2015-07-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2012","2015","901023.251012",""
"COL41","1","Corporate Governance for Family Businesses. Promoción de buenas prácticas de gobierno corporativo que incrementen la competitividad y la sostenibilidad de las pequeñas y medianas empresas (PYMES) de carácter familiar.","2011-03-01","start-actual","2014-01-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2011","2014","161857.14",""
"COL42","1","Desarrollo territorial transfronterizo con identidad al sur de Colombia y norte del Ecuador. Proyecto transfronterizo PASTO","2011-04-15","start-actual","2015-04-15","end-actual","European Union","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2011","2015","1112755.0",""
"COL43","1","Mejorar la producción de papa para aumentar la seguridad alimentaria de las comunidades indígenas en Colombia","2012-03-15","start-actual","2014-12-15","end-actual","Canada","CAN","Colombia","COL","311","Agriculture","Implementation","2012","2014","2319893.46053",""
"COL44","1","Apoyo a la estrategia de desarrollo rural de Colombia mediante la validación de la metodología de proyectos eje para la generación de ingresos.","2011-12-19","start-actual","2015-01-19","end-actual","Korea","KOR","Colombia","COL","311","Agriculture","Implementation","2011","2015","1666666.67",""
"COL45","1","Apoyo para el desarrolo del Acuerdo de mínimos por la paz en Colombia - Fase II","2011-03-14","start-actual","2013-09-14","end-actual","Spain","ESP","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2013","260000.0",""
"COL46","1","Programa integral de transferencia de conocimiento para el desarrollo sostenible de la cadena agroalimentaria en la región del valle del cauca","2012-01-01","start-actual","2013-07-01","end-actual","Spain","ESP","Colombia","COL","311","Agriculture","Implementation","2012","2013","205499.889871",""
"COL47","1","Proyecto para la construcción de un centro comunitario para campesinos en Pensilvania.","2011-12-15","start-actual","2013-06-15","end-actual","Japan","JPN","Colombia","COL","311","Agriculture","Implementation","2011","2013","109044.0",""
"COL48","1","Programa para la Implementación de prácticas organizativas y productivas sostenibles, buscando el bienestar de las pequeñas unidades productivas de bánano y plátano de urabá, Magdalena y Chocó.","2011-07-01","start-actual","2014-07-01","end-actual","Netherlands","NLD","Colombia","COL","311","Agriculture","Implementation","2011","2014","797860.67",""
"COL49","1","SERMACARENA - Fortalecimiento de medidas de confianza para un ordenamiento territorial y ambiental participativo (AMEM) en la región Macarena.","2011-07-01","start-actual","2013-11-01","end-actual","Germany","DEU","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","688160.0",""
"COL50","1","APOYO PRESUPUESTARIO AL SECTOR LACTEO EN COLOMBIA","2012-04-02","start-actual","2014-10-02","end-actual","European Union","DAC","Colombia","COL","311","Agriculture","Implementation","2012","2014","10977012.7509",""
"COL51","1","Proyecto de sostenibilidad regional del municipio de Pasto. Participación y concertación en el proceso de construcción sostenible del Departamento de Nariño. Fase II","2010-12-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","430","Other","Implementation","2010","2013","459615.381807",""
"COL52","1","Construcción participativa y concertada para la sostenibilidad - Valle del Cauca, Colombia. Fase II","2011-11-01","start-actual","2013-11-01","end-actual","Spain","ESP","Colombia","COL","430","Other","Implementation","2011","2013","325000.0",""
"COL53","1","Programa Suizo para la Promoción de la Paz SUIPPCOL -Fortalecimiento diálogo democrático","2013-06-01","start-actual","2014-06-01","end-actual","Switzerland","CHE","Colombia","COL","430","Other","Implementation","2013","2014","221770.733287",""
"COL54","1","FORTALECIMIENTO DEL ESTADO DE DERECHO - FORTALESDER FASE 3","2011-10-01","start-actual","2014-04-01","end-actual","Germany","DEU","Colombia","COL","151","Government and civil society, general","Implementation","2011","2014","4025440.0",""
"COL55","1","Programa de manejo de regalías","2011-12-23","start-actual","2013-06-23","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","1433333.33",""
"COL56","1","Lucha contra la impunidad en la Parapolítica","2011-07-12","start-actual","2014-01-12","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2011","2014","186000.0",""
"COL57","1","Cooperación entre Estado y Sociedad Civil para el desarrollo de la paz  CERCAPAZ Fase III.","2012-02-01","start-actual","2015-05-01","end-actual","Germany","DEU","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2015","2470220.60644",""
"COL58","1","Proyectos de varias organizaciones en acción integral contra las minas antipersonales.","2010-01-01","start-actual","2021-01-01","end-actual","Germany","DEU","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2021","377735.329776",""
"COL59","1","Funcionamiento, fortalecimiento y operatividad de Asfamipaz","2012-01-01","start-actual","2014-01-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2014","25527.93663",""
"COL60","1","Convenio 2010 - 2013. Fortalecimiento de la democracia participativa y el empoderamiento social en Colombia","2010-03-01","start-actual","2014-05-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2010","2014","132375.831757",""
"COL61","1","Diseño, planificación e implantación de una maestría oficial en cultura política, participación ciudadana y cohesión social. PCI2011","2012-01-01","start-actual","2014-01-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","65989.7161885",""
"COL62","1","Apoyo a la implementación de la ley restitución de tierras","2012-10-22","start-actual","2013-10-22","end-actual","France","FRA","Colombia","COL","151","Government and civil society, general","Implementation","2012","2013","25282.4757009",""
"COL63","1","LoU South. Asistencia técnica proporcionada por el el FMI - Modernización de la deuda y manejo del tesoro .","2010-09-01","start-actual","2014-09-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2010","2014","967978.2519",""
"COL64","1","IDB Quick Trade Response Window. Mecanismo de respuesta rápida para atender asuntos relacionados con el comercio.","2010-01-01","start-actual","2014-01-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2010","2014","1072383.46325",""
"COL65","1","Swiss-World Bank partnership on Fiscal Risk Management. CAT Risk","2011-01-01","start-actual","2016-01-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2011","2016","8600000.0",""
"COL66","1","PROYECTO DE FORTALECIMIENTO DE LA GESTIÓN DE FINANZAS PÚBLICAS EN COLOMBIA","2013-06-01","start-actual","2018-06-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2013","2018","7746853.80642",""
"COL67","1","Fortalecimiento Institucional de la Capacidad Nacional Colombiana de Acción contra Minas PAICMA -DCI-ALA/2010/022-250-","2011-10-11","start-actual","2017-10-11","end-actual","European Union","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2011","2017","7800000.0",""
"COL68","1","Fortalecimiento institucional de la capacidad colombiana para aumentar la integridad y la transparencia","2013-06-28","start-actual","2019-06-28","end-actual","European Union","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2013","2019","11010861.5435",""
"COL69","1","Construcción de un centro comunitario en Planadas de Mosquera","2011-12-15","start-actual","2013-06-15","end-actual","Japan","JPN","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2013","11245.0",""
"COL70","1","Aporte al proceso de Paz en Colombia: por medio de la construcción de una red en la población rural, para su participación en procesos de acceso, legalización y restitución de tierras y desarrollo rural en la región caribe colombiana.","2012-07-03","start-actual","2014-01-03","end-actual","Germany","DEU","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2014","158273.207106",""
"COL71","1","Sembrando Paz II - FORTALECIMIENTO Y EXPANCIÓN DE UN PROGRAMA PILOTO DE EDUCACIÓN EN ALTERNANCIA EN EL MEDIO RURAL","2011-01-01","start-actual","2014-01-01","end-actual","Belgium","BEL","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2014","67305.5",""
"COL72","1","Asistencia a víctimas civiles sobrevivientes de minas antipersona, con un enfoque sobre niños, niñas y jóvenes en Colombia.","2012-03-24","start-actual","2016-07-24","end-actual","Canada","CAN","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2016","284312.877736",""
"COL73","1","Iniciativa de consolidación y mejoramiento de la calidad de vida (CELI) - Regiones del Norte y el Sur","2011-12-10","start-actual","2016-12-10","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2016","17914050.0",""
"COL74","1","Iniciativa de consolidación y mejoramiento de la calidad de vida (CELI) - Región Central","2011-04-20","start-actual","2016-04-20","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2016","19158996.83",""
"COL75","1","Iniciativa de Consolidación y mejoramiento de la calidad de vida (CELI)  Montes de Maria","2010-04-05","start-actual","2015-04-05","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2015","30493223.7774",""
"COL76","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474",""
"COL77","1","Programa de Víctimas","2012-07-30","start-actual","2015-07-30","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2015","6136523.22837",""
"COL78","1","Fondo para la Promoción de la Convivencia - Recursos 2009","2009-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2009","2013","896969.436974",""
"COL79","1","Casa de la Memoria para la ciudad de Medellín - apoyo al componente estructural. Fase II","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2013","390000.0",""
"COL80","1","MAMA EN ACCIÓN: FORMACIÓN DE EMPLEO PARA MADRES ADOLESCENTES DE CARTAGENA","2011-01-01","start-actual","2014-01-01","end-actual","Belgium","BEL","Colombia","COL","160","Other social infrastructure and services","Implementation","2011","2014","118807.0",""
"COL81","1","LA PAZ MÁS ALLÁ DE LA PAZ: GOBIERNOS LOCALES PREPARADOS PARA UN ESCENARIO DE POSTCONFLICTO","2013-06-01","start-actual","2014-06-01","end-actual","Switzerland","CHE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2013","2014","128964.4576",""
"COL82","1","Forum Syd Colombia","2010-01-01","start-actual","2013-07-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2013","269819.706909",""
"COL83","1","Defensoría del Pueblo","2009-06-01","start-actual","2013-06-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2009","2013","5954591.95739",""
"COL84","1","FOS, the Fund for Strengthening Colombian Civil Society in Peace, Human Rights and Democracy","2010-05-01","start-actual","2013-10-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2013","8952093.74037",""
"COL85","1","Ruta por la Vida: Construcción colectiva por la paz, los derechos humanos, la reconciliación y la consolidación del estado social de derechos en la región de los Montes de María","2011-03-01","start-actual","2014-04-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2014","774894.0",""
"COL86","1","""De Víctimas a Constructoras de Paz"" Promoción de la Paz y la Reconciliación con Mujeres de 9 municipios del Occidente del Departamento de Antioquia","2011-03-01","start-actual","2014-03-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2014","1157784.0",""
"COL87","1","Fortalecimiento de los lideres constructores de paz y de sus planes de acción desde la Escuela de Formación en Construcción de Paz","2011-03-01","start-actual","2014-04-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2014","296283.0",""
"COL88","1","Programa Colombia Diakonia","2012-01-01","start-actual","2016-07-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2016","974010.763737",""
"COL89","1","Programa Suizo para la Promoción de la Paz SUIPPCOL - Ruta Pacífica.","2012-01-01","start-actual","2014-01-01","end-actual","Switzerland","CHE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2014","1301924.76813",""
"COL90","1","Desarrollo Regional, Paz y Estabilidad.","2009-12-29","start-actual","2014-12-29","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2009","2014","34981807.9074",""
"COL91","1","CONSTRUCCIÓN DE INSTALACIONES HIDRÁULICO-SANITARIAS EN VIVIENDAS DE LA ZONA SUR ORIENTAL DE LA CIUDAD DE CARTAGENA - FASE I","2011-10-01","start-actual","2014-04-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2014","1977222.0",""
"COL92","1","Observatorio Nacional de Paz","2010-03-13","start-actual","2013-12-13","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2013","76822.7426836",""
"COL93","1","Nuevos Territorios de Paz","2011-09-29","start-actual","2016-09-29","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2016","7904000.0",""
"COL94","1","Desarrollo Regional, Paz y Estabilidad II","2010-12-09","start-actual","2014-12-09","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2010","2014","11152788.0178",""
"COL95","1","Hacia la corresponsabilidad entre los actores no estatales y las autoridades locales: aportes de la transparencia, la rendición de cuentas y el control ciudadano en la co-construcción de políticas de desarrollo en tres departamentos de Colombia.","2012-02-01","start-actual","2015-02-01","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2015","429065.704127",""
"COL96","1","Consolidando al Consejo Comunitario Mayor de la Opoca COCOMOPOCA como actor social de desarrollo y paz. DCI-NSAPVD/2012/293-916","2013-01-01","start-actual","2015-07-01","end-actual","European Union","DAC","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2013","2015","779627.87337",""
"COL97","1","PLAN DE INVERSIÓN ""TODOS POR EL PACÍFICO"" - CHOCÓ","2011-02-01","start-actual","2014-02-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2014","8355886.25",""
"COL98","1","Proyecto para la construcción de un hogar para primera infancia en Zona Bananera","2012-03-07","start-actual","2013-10-07","end-actual","Japan","JPN","Colombia","COL","160","Other social infrastructure and services","Implementation","2012","2013","110118.682028",""
"COL99","1","Fortalecimiento de la participación política de las mujeres indígenas del norte del Cauca, para una cultura democrática y de paz.","2013-04-01","start-actual","2014-06-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2013","2014","160625.33265",""
"COL100","1","Plan de Consolidación Integral de la macarena , FASE II","2010-11-01","start-actual","2014-05-01","end-actual","Netherlands","NLD","Colombia","COL","151","Government and civil society, general","Implementation","2010","2014","3879223.59887",""
"COL101","1","Construcción de capacidades y asistencia humanitaria a población en situación de desplazamiento.","2012-08-31","start-actual","2013-08-31","end-actual","United States","USA","Colombia","COL","730","Reconstruction relief (including recovery)","Implementation","2012","2013","487649.049154",""
"COL102","1","Reducción de la indidencia de enfermedad relacionadas con el agua, la higiene y las condiciones básicas de hábitat de 1200 familias vulnerables por las inundaciones en el departamento de Córdoba.","2010-12-15","start-actual","2013-12-15","end-actual","Spain","ESP","Colombia","COL","730","Reconstruction relief (including recovery)","Implementation","2010","2013","439856.971826",""
"COL103","1","Reducción de la incidencia de enfermedades relacionadas con el agua, la higiene y las condiciones básicas de hábitat de 1.200 familias vulnerables afectadas por las inundaciones en Departamento de Córdoba, Colombia","2010-12-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","730","Reconstruction relief (including recovery)","Implementation","2010","2013","439856.971826",""
"COL104","1","Fondo de Respuesta a Emergencias del Coordinador Humanitario en Colombia 2012","2012-01-01","start-actual","2014-01-01","end-actual","Spain","ESP","Colombia","COL","730","Reconstruction relief (including recovery)","Implementation","2012","2014","638198.41575",""
"COL105","1","PLANTA DE TRATAMIENTO DE AGUA POTABLE ALBORNOZ Y TUBERIA DE DISTRIBUCIÓN PRINCIPAL","2012-01-01","start-actual","2013-07-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2012","2013","8635973.32225",""
"COL106","1","Proyectos de varias organizaciones en ayuda humanitaria.","2010-01-01","start-actual","2020-02-01","end-actual","Germany","DEU","Colombia","COL","740","Disaster prevention and preparedness (including disaster risk reduction)","Implementation","2010","2020","6358216.70474",""
"COL107","1","Ayuda Humanitaria de Urgencia- Comunidad Campanario, Municipio Cáceres, Antioquia","2012-01-01","start-actual","2013-07-01","end-actual","France","FRA","Colombia","COL","740","Disaster prevention and preparedness (including disaster risk reduction)","Implementation","2012","2013","37964.9509874",""
"COL108","1","PROYECTO CORDÓN AMBIENTAL Y TRADICIONAL DE LA SIERRA NEVADA DE SANTA MARTA","2011-11-01","start-actual","2013-07-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2013","506044.0",""
"COL109","1","COLECTOR PLUVIAL BASTIDAS - MAR CARIBE EN SANTA MARTA FASE IV","2011-04-01","start-actual","2014-04-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2014","7036536.0",""
"COL110","1","ALCANTARILLADO FALTANTE BARRIO NELSON MANDELA","2011-10-01","start-actual","2014-10-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2014","3185053.0",""
"COL111","1","MULTIVEREDAL INTEGRAL DEL PACÍFICO (CENTROS POBLADOS Y CABECERAS CORREGIMENTALES DE: GUAYACANA, LLORENTE, ESPRIELLA Y TANGAREAL)","2011-10-01","start-actual","2014-04-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2011","2014","1957037.0",""
"COL112","1","Actividades de difusión, formación y sensibilización a actores locales en el ámbito de los derechos a la igualdad y no discriminación racial de la población afrodescendiente en colombia","2012-06-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2012","2013","63819.841575",""
"COL113","1","PROGRAMA DE AGUA Y SANEAMIENTO PARA EL SECTOR RURAL.","2012-11-01","start-actual","2016-11-01","end-actual","Spain","ESP","Colombia","COL","140","Water supply and sanitation","Implementation","2012","2016","17619710.7797",""
