"Project_ID","PROYECTO","OBJETIVO","MODALIDAD","ENTIDADES RESPONSABLES","MONEDA","APORTE NACIONAL","APORTE INTERNACIONAL","BENEFICIARIOS","TERRITORIOS","MUNICIPIOS","TIPO DE COOPERACION"
"COL14","Proyecto para la construcci?n de un colegio en R?osucio","Contribuir a la ampliación de la cobertura educativa en el municipio de Riosucio","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","90.811,00","INFANCIA Y ADOLESCENCIA","CALDAS","RIOSUCIO","BILATERALES"
"COL15","Fondo de Estudios y Expertos","El Fondo de Estudios y Expertos se utiliza para misiones y preparaciones de nuevos proyectos y programas de asistencia técnica, además para la financiación de otros estudios e informes. También se pueden financiar proyectos pequeños.","Cooperación Financiera","GIZ AGENCIA DE COOPERACION TECNICA ALEMANA","US Dolar","0","6.055.634,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL16","Proyecto de Pol?ticas P?blicas","El Proyecto brinda apoyo al Gobierno de Colombia en el desarrollo de una amplia variedad de politicas públicas. Está dividido en tres pilares: Tierras, Víctimas y Políticas de Consolidación.","Cooperación Técnica","USAID","US Dolar","6.846.889,00","27.387.555,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL17","Proyecto del complejo recreativo-educativo-cultural y de servicios del barrio el Poz?n de Cartagena de Indias","Contribuir a la convivencia pacífica y al fortalecimiento de la identidad barrial en el sector del Pozón","Cooperación Técnica","ESCUELA TALLER DE CARTAGENA","US Dolar","0","250.900,00","POBLACIÓN EN GENERAL","BOLIVAR","CARTAGENA","BILATERALES"
"COL18","Sustainable livelihoods through co-operatives Program 2011-16","Promover el modelo cooperativo para apoyar crecimiento económico y mejoramiento de la seguridad alimentaria en comunidades","Cooperación Técnica","ASOC. CANADIENSE DE COOPERATIVAS","US Dolar","0","792.536,33","CAMPESINOS","CUNDINAMARCA, META, BOYACÁ","GRANADA, CHIQUINQUIRA, ANAPORGANIZACION INTERNACIONAL PARA LAS MIGRACIONES - OIMA, FOMEQUE, SUBACHOQUE, OTANCHE, PAUNA, VILLAVICENCIO, SABOYA, CHIPAQUE, SUTAMARCHAN","BILATERALES"
"COL19","Fondo Local para la Promoci?n de la Responsabilidad Social Corporativa en Colombia","Apoyar a comunidades locales y el sector extractivo para implementar actividades de RSC en forma constructiva, asegurando el desarrollo sostenible social, gobernabilidad y económica de las comunidades.","Cooperación Técnica","EMBAJADA DE CANADÁ","US Dolar","0","6.591.667,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL20","Revisi?n de la Gobernabilidad P?blica y seguimiento a la implementaci?n.","El Proyecto busca iniciar una revisión de la gobernabilidad pública en Colombia.","Cooperación Técnica","USAID","US Dolar","321.419,00","1.285.676,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL21","Desarrollo de las Mipymes bajo el modelo de cl?ster - Fortalecimiento de las pol?ticas de competitividad y productividad en Colombia","Facilitar la articulación e inserción de MIPYMES entorno a encadenamientos productivos de valor global y construir un modelo de competitividad e innovación en Colombia, promueva la creación de empleo y contribuya al crecimiento sostenible del país.","Cooperación Técnica","MINISTERIO DE COMERCIO INDUSTRIA Y TURISMO","US Dolar","0","750.000,00","POBLACIÓN EN GENERAL, INSTITUCIONES","AMBITO NACIONAL, BOGOTÁ D.C., ANTIOQUIA, VALLE DEL CAUCA","","BILATERALES"
"COL22","Asistencia t?cnica al Proyecto Nacional de Sistemas de Inspeccion de carga no invasivos.","Implementación de un programa para fortalecer los estandares de seguridad en el comercio internacional.","Cooperación Técnica","DIRECCIÓN DE IMPUESTOS Y ADUANAS NACIONALES - DIAN","US Dolar","75.656,00","70.777,78","POBLACIÓN EN GENERAL","NORTE DE SANTANDER, ATLÁNTICO, AMBITO NACIONAL, BOGOTÁ D.C., MAGDALENA, BOLIVAR, ANTIOQUIA, LA GUAJIRA, VALLE DEL CAUCA","RIOHACHA, SANTA MARTA, MEDELLIN, BARRANQUILLA, CALI, CUCUTA, MAICAO, BUGALAGRANDE, CARTAGENA","BILATERALES"
"COL23","Proyecto de Fortalecimiento Sindical II","El Proyecto tiene el objetivo de promover una cultura de respeto frente a los derechos laborales en Colombia.","Cooperación Técnica","USAID","US Dolar","750.000,00","3.000.000,00","ORGANIZACIONES SOCIALES","AMBITO NACIONAL","","BILATERALES"
"COL24","Pakaisu II: Puesta en marcha de una experiencia piloto de comercializaci?n comunitaria que consolide el proceso socio-empresarial productivo","1.Poner en marcha una experiencia piloto de comercialización comunitaria que consolide los procesos adelantados en la primera fase de fortalecimiento socio-empresarial, fortalecimiento de identidad propia y productivo de 11 Organizaciones campesinas y un Cabildo Indígenas del Municipio de Puerres","Cooperación Financiera","ASOC. TIERRA UNA","US Dolar","0","427.887,00","CAMPESINOS, INDIGENAS","NARIÑO","PUERRES","BILATERALES"
"COL25","Ana-M?: Consolidaci?n de los procesos socio productivos y comerciales de dos asociaciones agropecuarias, bajo un enfoque de derechos y sostenibilidad","Fomentar el autodesarrollo de dos comunidades rurales, Puerres y Pupiales, a través del refuerzo de los procesos socioeconómicos y productivos de dos asociaciones de ganado de leche","Cooperación Técnica","ASOC. TIERRA UNA","US Dolar","0","371.912,00","CAMPESINOS","NARIÑO","PUPIALES, PUERRES","BILATERALES"
"COL26","Apoyo al proyecto de desarrollo de un marco institucional y operativo para las Alianzas P?blico-Privadas en Colombia","El proyecto busca que el gobierno de Colombia desarrolle un marco institucional y de gestión transparente y previsible en materia de Alianzas Público-Privadas","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","161.329,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL27","Fomento del tejido empresarial del sector cultural en la regi?n de Antioquia/ subregi?n de Urab? (FOMECC Colombia)","Promover, mediante el fortalecimiento de capacidades de gestión y emprendimiento, y aprovechando la estructura y experiencia del Programa FOMECC Colombia (Medellín), el empoderamiento y la participación de los agentes culturales del Urabá antioqueño en los procesos de desarrollo regionales, de cara a favorecer dinámicas de cambio cultural que disminuyan los factores objetivos de violencia y generen nuevos ámbitos de convivencia.","Cooperación Técnica","U. ANTIOQUIA","US Dolar","0","200.892,00","POBLACIÓN EN GENERAL","ANTIOQUIA","MURINDO, ARBOLETES, MUTATA, CAREPA, SAN JUAN DE URABA, TURBO, CHIGORODO, NECOCLI, SAN PEDRO DE URABA, APARTADO","BILATERALES"
"COL28","Fomento del emprendimiento femenino y apoyo en los procesos productivos y medioambientales a los microempresarios del Valle del Cauca","Incrementar la capacidad competitiva de microempresas del Valle del Cauca a través del mejoramiento continuo de sus procesos y del acceso a nuevos mercados;","Cooperación Técnica","CORP. CÍVICA DANIEL GILLARD - CECAN","US Dolar","0","260.000,00","POBLACIÓN EN GENERAL","VALLE DEL CAUCA","DARIEN, VERSALLES, CANDELARIA, EL DOVIO, CALI","BILATERALES"
"COL29","Iniciativas productivas y sociales a trav?s de la migraci?n temporal","Trabajadores temporales colombianos migrantes en Cataluña generan y desarrollan 50 proyectos productivos y sociales en los departamentos de Chocó, Cundinamarca, Cauca, Valle del Cauca y Nariño (Colombia) en un modelo de codesarrollo","Cooperación Técnica","FUNDACION AGRICULTORES SOLIDARIOS","US Dolar","0","260.000,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL30","Desarrollo con Identidad Regional entre Espa?a y Nari?o (DIRENA)","El proyecto busca contribuir a generar alternativas de desarrollo territorial que permitan superar las condiciones de conflictividad y crisis humanitaria de Nariño, con perspectivas de inclusión y equidad social, a través de la transferencia de buenas prácticas españolas.","Cooperación Técnica","ADEL NARIÑO","US Dolar","0","169.000,00","POBLACIÓN EN GENERAL","NARIÑO","","BILATERALES"
"COL31","Puesta en macha del Centro APIC de formaci?n para poblaciones vulnerables en el municipio de Montel?bano C?rdoba - Fase III","Ampliar la cobertura del Centro APIC de Formación, tanto en oferta educativa como en número de alumnos, mediante el crecimiento de la capacidad instalada y la puesta en funcionamiento de un aula móvil que permita la descentralización de los servicios educativos y la asistencia técnica.","Cooperación Técnica","FUNDACION APIC","US Dolar","0","455.000,00","POBLACIÓN DESPLAZADA, MUJERES, INDIGENAS, DESMOVILIZADOS","CÓRDOBA","MONTELIBANO","BILATERALES"
"COL32","Aportar al ejercicio efectivo de los derechos socioecon?micos de organizaciones pertenecientes a la Red Pisc?cola - Codigo 12-PRI-0392","Mejorar, puesta en valor y fusión de sistemas de producción y técnicas adaptadas localmente dirigidas a mejorar la productividad y la diversificación mediante la explotación sostenible de los recursos.","Cooperación Técnica","CORP. DESARROLLO SOLIDARIO - CDS","US Dolar","0","234.000,00","CAMPESINOS","BOLIVAR","MARIA LA BAJA","BILATERALES"
"COL33","Proyecto para la construcción de un centro comunitario en Regidor.","Apoyar y capacitar a la comunidad en temas como primeros auxilios, socorrismo, cooperativismo, acción comunal, reuniones de madres cabeza de familia, actividades culturales, educativas y recreativas.","Cooperación Financiera","CORP. DESARROLLO Y PAZ DEL MAGDALENA MEDIO","US Dolar","0","111.830,00","JÓVENES","BOLIVAR","REGIDOR","BILATERALES"
"COL34","Proyecto para la construcci?n del centro de estudios del Pac?fico en Tumaco","Contribuir al desarrollo social del Pacífico colombiano","Cooperación Financiera","U. NACIONAL DE COLOMBIA","US Dolar","0","112.275,00","JÓVENES","NARIÑO","TUMACO","BILATERALES"
"COL35","Encuesta de Valores Democr?ticos/Bar?metro de las Am?ricas","Realizar una encuesta de muestra nacional anual, para ayudar al avance de una agenda de democratización.","Cooperación Técnica","USAID","US Dolar","617.849,00","2.471.395,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL36","Proyecto Piloto de Certificaci?n RSPO Palma de Aceite en el Catatumbo","Diseño e implementación de un proceso de certificación en RSPO que permita mejorar la eficiencia económica, la responsabilidad social y ambiental y el fortalecimiento de las relaciones entre la comunidad, los municipios, las organizaciones de productores e instituciones, facilitando la toma de decisiones democráticas e informadas con la participación activa de los productores.","Cooperación Técnica","OLEOFLORES S.A.","US Dolar","0","1.688.021,00","CAMPESINOS","NORTE DE SANTANDER","TIBU, CUCUTA, EL ZULIA, SARDINATA","BILATERALES"
"COL37","Acompa?amiento al dise?o y ejecuci?n de las pol?ticas transicionales y de construcci?n de la paz en Colombia","Acompañar el diseño y puesta en marcha del marco normativo y las políticas públicas relacionadas con los procesos de construcción y consolidación de la paz, de justicia transicional en medio del conflicto y de garantía de los derechos de las víctimas de violaciones a los derechos humanos y el derecho internacional humanitario.","Cooperación Técnica","CENTRO INTERNACIONAL DE TOLEDO PARA LA PAZ","US Dolar","0","650.000,00","VICTIMAS DE LA VIOLENCIA","AMBITO NACIONAL","","BILATERALES"
"COL38","Pol?tica de competencia II ? COMPAL II","El propósito de COMPAL en Colombia es seguir fortaleciendo sustancialmente el proceso de competencia y la protección del consumidor en el país. Se dará prioridad a fortalecer las capacidades técnicas en la aplicación de la ley de competencia y protección del consumidor; fortalecer la diseminación de resultados y; promover las condiciones para asegurar el desarrollo libre de los mercados; y recomendaciones para el diseño de políticas públicas.","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","3.000.000,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL39","SCORE: Mantenimiento de empresas competitivas y responsables.","El proyecto busca mejorar la competitividad de las PYMES a través de mejores condiciones de trabajo y buen manejo de personal; esfuerzos que requieren poco capital pero pueden generar grandes resultados. El proyecto se enfocará en empresas en sectores económicos y clusters con gran potencial de crecimiento en el país.","Cooperación Financiera","NO ESPECIFICA","US Dolar","2.117.549,00","2.117.549,00","INSTITUCIONES","ANTIOQUIA, CUNDINAMARCA","","BILATERALES"
"COL40","Generaci?n de Capacidades Comerciales: Red de Exportadores de cacao-Colombia // ?Trade Capacity Building EFTA: Export Network Cocoa, Colombia?","Aumentar la competitividad del sector cacao en dos regiones seleccionadas de Colombia. Nariño y Santader","Cooperación Financiera","SWISSCONTACT","US Dolar","1.044.054,00","917.685,00","ORGANIZACIONES SOCIALES","NORTE DE SANTANDER, SANTANDER, NARIÑO","TIBU, EL CARMEN DE CHUCURI, SARDINATA, TUMACO","BILATERALES"
"COL41","Corporate Governance for Family Businesses. Promoci?n de buenas pr?cticas de gobierno corporativo que incrementen la competitividad y la sostenibilidad de las peque?as y medianas empresas (PYMES) de car?cter familiar.","incrementar la competitividad y la sostenibilidad de las PYMES colombianas","Cooperación Financiera","NO ESPECIFICA","US Dolar","136.000,00","161.857,14","POBLACIÓN EN GENERAL","SANTANDER, ATLÁNTICO, RISARALDA, BOGOTÁ D.C., MAGDALENA, ANTIOQUIA, BOLIVAR","SANTA MARTA, BUCARAMANGA, MEDELLIN, BARRANQUILLA, PEREIRA, CARTAGENA","BILATERALES"
"COL42","Desarrollo territorial transfronterizo con identidad al sur de Colombia y norte del Ecuador. Proyecto transfronterizo PASTO","Fomentar el desarrollo social y económico con identidad, equidad y sostenibilidad de indígenas y campesinos del territorio Pasto del sur de Colombia y norte del Ecuador, en un proceso permanente de intercambios entre estos dos territorios fronterizos","Cooperación Financiera","VETERINARIOS SIN FRONTERAS","US Dolar","118.124,00","1.112.755,00","CAMPESINOS, INDIGENAS","NARIÑO","PASTO","BILATERALES"
"COL43","Mejorar la producci?n de papa para aumentar la seguridad alimentaria de las comunidades ind?genas en Colombia","Mejorar la seguridad almientaria en comunidades nativas y campesinas a través de la selección de cultivares de papa con alto rendimiento y contenido nutricional, mediante el desarrollo de investigación participativa en buenas prácticas agrícolas y de pos cosecha y el empoderamiento de la mujer para mejorar los hábitos nutricionales de las familias.","Cooperación Financiera","U. NACIONAL DE COLOMBIA","US Dolar","0","2.362.793,00","INDIGENAS","NARIÑO","","BILATERALES"
"COL44","Apoyo a la estrategia de desarrollo rural de Colombia mediante la validaci?n de la metodolog?a de proyectos eje para la generaci?n de ingresos.","Contribuir al desarrollo rural integral para el mejoramiento de la calidad de vida de las comunidades más vulnerables en las zonas priorizadas por el Gobierno Nacional. aportando a la construcción de paz y al logro de lo Objetivo de Milenio 1. ""Erradicaciòn de la Pobreza Extrema y el Hambre""","Cooperación Técnica","MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL","US Dolar","428.571,00","1.666.666,67","CAMPESINOS, INSTITUCIONES, MUJERES, ORGANIZACIONES SOCIALES, INDIGENAS","SANTANDER, CÓRDOBA, CUNDINAMARCA","EL PLAYON, FLORIDABLANCA, PUERTO WILCHES, SURATA, TONA, LOS CORDOBAS, PIEDECUESTA, VENECIA, PANDI, MATANZA, RIONEGRO, SANTA BARBARA, PASCA, SILVANIA, LEBRIJA, LOS SANTOS, SAN ANTERO, ARBELAEZ, CABRERA, GRANADA, BUCARAMANGA, CALIFORNIA, FUSAGASUGA, BARRANCABERMEJA, PUERTO PARRA, VETAS, MOÑITOS, SAN BERNARDO, TIBACUY, CHARTA, PUERTO ESCONDIDO, SAN BERNARDO DEL VIENTO, GIRON, CANALETE","BILATERALES"
"COL45","Apoyo para el desarrolo del Acuerdo de m?nimos por la paz en Colombia - Fase II","Contribuir a la reconciliación en Colombia que permita un desarrollo sostenible, incluso y en paz.","Cooperación Financiera","COMISIÓN DE CONCILIACIÓN NACIONAL","US Dolar","0","260.000,00","ORGANIZACIONES SOCIALES, INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL46","Programa integral de transferencia de conocimiento para el desarrollo sostenible de la cadena agroalimentaria en la regi?n del valle del cauca","Transferencia de conocimientos asentados en la Declaración de Lisboa y de las necesidades definidas por el Plan Estratégico del Valle del Cauca en lo referente a la sostenibilidad de la cadena agroalimentaria.","Cooperación Técnica","U. VALLE","US Dolar","0","209.300,00","INSTITUCIONES","VALLE DEL CAUCA","","BILATERALES"
"COL47","Proyecto para la construcci?n de un centro comunitario para campesinos en Pensilvania.","Fortalecer los procesos de convivencia entre los habitantes de Pensilvania","Cooperación Financiera","ALC PENSILVANIA","US Dolar","0","109.044,00","POBLACIÓN EN GENERAL, CAMPESINOS","CALDAS","PENSILVANIA","BILATERALES"
"COL48","Programa para la Implementaci?n de pr?cticas organizativas y productivas sostenibles, buscando el bienestar de las peque?as unidades productivas de b?nano y pl?tano de urab?, Magdalena y Choc?.","Implementar un proceso de prácticas de producción sostenibles y competitivas mediante un programa de apoyo de 685 famiilias pequeños productores de bánana y plátano, a través de la innovation, transferencia de buenas prácticas agrícolas y apoypo de negocios en Urabá, Magdalena Y Choco","Cooperación Técnica","ASOC. DE BANANEROS DE COLOMBIA - AUGURA","US Dolar","0","797.860,67","CAMPESINOS","MAGDALENA, ANTIOQUIA, CHOCÓ","","BILATERALES"
"COL49","SERMACARENA - Fortalecimiento de medidas de confianza para un ordenamiento territorial y ambiental participativo (AMEM) en la regi?n Macarena.","La población local y grupos de la sociedad civil, así como los actores relevantes locales y regionales estatales en la región de la Macarena actúan conjuntamente en la implementación participativa del ordenamiento ambiental del AMEM.","Cooperación Técnica","GOBERNACIÓN META","US Dolar","0","688.160,00","POBLACIÓN EN GENERAL","META","","BILATERALES"
"COL50","APOYO PRESUPUESTARIO AL SECTOR LACTEO EN COLOMBIA","Contribuir a la mejora de la competitividad del sector lácteo colombiano según lo definido en la política pública del sector lácteo (CONPES 3675)","Cooperación Financiera","MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL","US Dolar","0","11.180.000,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL51","Proyecto de sostenibilidad regional del municipio de Pasto. Participaci?n y concertaci?n en el proceso de construcci?n sostenible del Departamento de Nari?o. Fase II","Consolidar experiencias de sostenibilidad local a través de la implementación de proyectos estratégicos económicos, ambientales, culturales, políticos y sociales concertados en los espacios de planificación participativa de 8 municipios del Departamento de Nariño","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","450.022,00","INSTITUCIONES, ORGANIZACIONES SOCIALES","NARIÑO","PASTO","BILATERALES"
"COL52","Construcci?n participativa y concertada para la sostenibilidad - Valle del Cauca, Colombia. Fase II","Contribuir con experiencias de sostenibilidad local, a la construcción participativa y concertada de los municipios Buga, Riofrío,Trujillo, Yotoco, Vijes, Restrepo y Ginebra","Cooperación Técnica","INST. MAYOR CAMPESINO - IMCA","US Dolar","0","325.000,00","POBLACIÓN EN GENERAL","VALLE DEL CAUCA","RIOFRIO, TRUJILLO, RESTREPO, YOTOCO, VIJES, BUGA, GINEBRA","BILATERALES"
"COL53","Programa Suizo para la Promoci?n de la Paz SUIPPCOL -Fortalecimiento di?logo democr?tico","Fortalecer el diálogo democrático y la negociación entre las organizaciones de víctimas e instituciones estatales participando en los Consejos Territoriales de Justicia Transicional a través del fortalecimiento institucional y la generación de condiciones y dinámicas que promuevan la discusión de los PATs en Meta.","Cooperación Técnica","FUNDACION FORO NACIONAL POR COLOMBIA","US Dolar","0","214.704,00","ORGANIZACIONES SOCIALES","META","","BILATERALES"
"COL54","FORTALECIMIENTO DEL ESTADO DE DERECHO - FORTALESDER FASE 3","LOS ORGANOS D ELA JUSTICIA Y DE CONTROL MEJORAN LA PROTECCIÓN D ELOS CIUDADANOS FRENTE A LA ACTUACIÓN ADMINISTRATIVA IMPROCEDENTE, A PARTIR DE LA APLICACIÓN EFECTIVA DEL DERECHO, DESDE SU FUCNIÓN FUNDADORA DE PAZ Y CONFIANZA","Cooperación Técnica","AGENCIA DE DESARROLLO ALEMANA - GIZ","US Dolar","0","4.025.440,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL55","Programa de manejo de regal?as","Mejorar el uso de las regalías y destinarlas a apoyar la infraesctuctura social de una manera más eficiente y transparente.","Cooperación Técnica","USAID","US Dolar","358.333,00","1.433.333,33","INSTITUCIONES","CÓRDOBA, LA GUAJIRA, META","","BILATERALES"
"COL56","Lucha contra la impunidad en la Parapol?tica","El Proyecto apunta a contribuir con el aumento de conocimiento y consciencia de los magistrados de la Corte Suprema de Justicia y del equipo de la Fiscalía General de la Nación acerca de los mecanismos internacionales de responsabilidad criminal, así como brindar análisis sobre el problema paramilitar con el objetivo de superar la impunidad.","Cooperación Técnica","USAID","US Dolar","46.500,00","186.000,00","INSTITUCIONES","ATLÁNTICO, BOLIVAR, LA GUAJIRA, VALLE DEL CAUCA","","BILATERALES"
"COL57","Cooperaci?n entre Estado y Sociedad Civil para el desarrollo de la paz ? CERCAPAZ Fase III.","Los actores del Estado y la Sociedad Civil interactúan constructivamente para la inclusión social y la construcción de procesos de paz.","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","2.515.900,00","POBLACIÓN EN GENERAL","NORTE DE SANTANDER, CALDAS, CESAR, BOGOTÁ D.C.","","BILATERALES"
"COL58","Proyectos de varias organizaciones en acci?n integral contra las minas antipersonales.","Combatir los riesgos y las consecuencias relacionados a las minas antipersonales.","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","369.851,00","VICTIMAS DE LA VIOLENCIA","AMBITO NACIONAL","","BILATERALES"
"COL59","Funcionamiento, fortalecimiento y operatividad de Asfamipaz","Fortalecimiento externo e interno de la organización y sensibilizar a la sociedad sobre la necesidad de una solución política negociada del conflicto armado interno en Colombia","Cooperación Financiera","ASFAMIPAZ","US Dolar","0","26.000,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","AMBITO NACIONAL","BILATERALES"
"COL60","Convenio 2010 - 2013. Fortalecimiento de la democracia participativa y el empoderamiento social en Colombia","Apoyar la consolidación de los procesos de fortalecimiento de la democracia y del estado social de derecho en las regiones del Urabá Antioqueño, Magdalena Medio y Catatumbo, favoreciendo los espacios de organización social y participación ciudadana contemplados en la Constitución colombiana que permitan mejorar su interacción con el Estado en la formulación de políticas públicas, y la generación de procesos con equidad de género e inclusión social que promuevan la calidad de vida y el desarrollo sostenible de las regiones","Cooperación Financiera","SECRETARIADO NACIONAL DE PASTORAL SOCIAL","US Dolar","0","129.612,80","POBLACIÓN EN GENERAL","NORTE DE SANTANDER, SANTANDER, CESAR, ANTIOQUIA, BOLIVAR","PUERTO WILCHES, BETULIA, ARBOLETES, MUTATA, AGUACHICA, CAREPA, SABANA DE TORRES, PUERTO NARE, SAN VICENTE DE CHUCURI, SAN JUAN DE URABA, TURBO, TIBU, BARRANCABERMEJA, PUERTO PARRA, CHIGORODO, SAN PABLO, EL CARMEN DE CHUCURI, NECOCLI, PUERTO BERRIO, SAN PEDRO DE URABA, CANTAGALLO, EL TARRA, SARDINATA, CIMITARRA, APARTADO, YONDO","BILATERALES"
